npi,taxonomy_col,taxonomy_code,switch_col,taxonomy_switch
1053307959,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,2085R0202X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,N
1053307959,HEALTHCARE_PROVIDER_TAXONOMY_CODE_3,2085N0904X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_3,N
1093702508,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,2085R0202X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1962499178,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,2085R0202X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1063403145,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207RR0500X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1295726032,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,291U00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1023009347,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,208800000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1962483958,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207Q00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1366423048,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,2084N0400X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1740262880,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,291U00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1184606915,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207RC0000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,N
1184606915,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,207RA0001X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,Y
1336121938,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207RC0000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1952384216,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,291U00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1245213347,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207RH0003X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1619950169,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,208800000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1477537082,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,225100000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1770569436,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207ZD0900X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
1720064207,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,208G00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,N
1720064207,HEALTHCARE_PROVIDER_TAXONOMY_CODE_2,2086S0129X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_2,Y
1720064207,HEALTHCARE_PROVIDER_TAXONOMY_CODE_3,208G00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_3,N
1245217975,HEALTHCARE_PROVIDER_TAXONOMY_CODE_1,207Q00000X,HEALTHCARE_PROVIDER_PRIMARY_TAXONOMY_SWITCH_1,Y
