payment_year,hcpcs_cpt_code,included_flag
2019,21620,yes
2019,21627,yes
2019,21630,yes
2019,21632,yes
2019,21685,yes
2019,21700,yes
2019,21705,yes
2019,21720,yes
2019,21725,yes
2019,21740,yes
2019,21742,yes
2019,21743,yes
2019,21750,yes
2019,21811,yes
2019,21812,yes
2019,21813,yes
2019,21820,yes
2019,21825,yes
2019,21899,yes
2019,21930,yes
2019,21931,yes
2019,21932,yes
2019,21933,yes
2019,21935,yes
2019,21936,yes
2019,22010,yes
2019,22015,yes
2019,22100,yes
2019,22101,yes
2019,22102,yes
2019,22110,yes
2019,22112,yes
2019,22114,yes
2019,22206,yes
2019,22207,yes
2019,22210,yes
2019,22212,yes
2019,22214,yes
2019,22220,yes
2019,22222,yes
2019,22224,yes
2019,22310,yes
2019,22315,yes
2019,22318,yes
2019,22319,yes
2019,22325,yes
2019,22326,yes
2019,22327,yes
2019,22505,yes
2019,22510,yes
2019,22511,yes
2019,22513,yes
2019,22514,yes
2019,22526,yes
2019,22532,yes
2019,22533,yes
2019,22548,yes
2019,22551,yes
2019,22554,yes
2019,22556,yes
2019,22558,yes
2019,22586,yes
2019,22590,yes
2019,22595,yes
2019,22600,yes
2019,22610,yes
2019,22612,yes
2019,22630,yes
2019,22633,yes
2019,22800,yes
2019,22802,yes
2019,22804,yes
2019,22808,yes
2019,22810,yes
2019,22812,yes
2019,22818,yes
2019,22819,yes
2019,22830,yes
2019,22849,yes
2019,22850,yes
2019,22852,yes
2019,22855,yes
2019,22856,yes
2019,22857,yes
2019,22861,yes
2019,22862,yes
2019,22864,yes
2019,22865,yes
2019,22867,yes
2019,22869,yes
2019,22899,yes
2019,22900,yes
2019,22901,yes
2019,22902,yes
2019,22903,yes
2019,22904,yes
2019,22905,yes
2019,22999,yes
2019,23000,yes
2019,23020,yes
2019,23030,yes
2019,23031,yes
2019,23035,yes
2019,23040,yes
2019,23044,yes
2019,23071,yes
2019,23073,yes
2019,23075,yes
2019,23076,yes
2019,23077,yes
2019,23078,yes
2019,23100,yes
2019,23101,yes
2019,23105,yes
2019,23106,yes
2019,23107,yes
2019,23120,yes
2019,23125,yes
2019,23130,yes
2019,23140,yes
2019,23145,yes
2019,23146,yes
2019,23150,yes
2019,23155,yes
2019,23156,yes
2019,23170,yes
2019,23172,yes
2019,23174,yes
2019,23180,yes
2019,23182,yes
2019,23184,yes
2019,23190,yes
2019,23195,yes
2019,23200,yes
2019,23210,yes
2019,23220,yes
2019,23330,yes
2019,23333,yes
2019,23334,yes
2019,23335,yes
2019,23395,yes
2019,23397,yes
2019,23400,yes
2019,23405,yes
2019,23406,yes
2019,23410,yes
2019,23412,yes
2019,23415,yes
2019,23420,yes
2019,23430,yes
2019,23440,yes
2019,23450,yes
2019,23455,yes
2019,23460,yes
2019,23462,yes
2019,23465,yes
2019,23466,yes
2019,23470,yes
2019,23472,yes
2019,23473,yes
2019,23474,yes
2019,23480,yes
2019,23485,yes
2019,23490,yes
2019,23491,yes
2019,23500,yes
2019,23505,yes
2019,23515,yes
2019,23520,yes
2019,23525,yes
2019,23530,yes
2019,23532,yes
2019,23540,yes
2019,23545,yes
2019,23550,yes
2019,23552,yes
2019,23570,yes
2019,23575,yes
2019,23585,yes
2019,23600,yes
2019,23605,yes
2019,23615,yes
2019,23616,yes
2019,23620,yes
2019,23625,yes
2019,23630,yes
2019,23650,yes
2019,23655,yes
2019,23660,yes
2019,23665,yes
2019,23670,yes
2019,23675,yes
2019,23680,yes
2019,23700,yes
2019,23800,yes
2019,23802,yes
2019,23900,yes
2019,23920,yes
2019,23921,yes
2019,23929,yes
2019,23930,yes
2019,23931,yes
2019,23935,yes
2019,24000,yes
2019,24006,yes
2019,24071,yes
2019,24073,yes
2019,24075,yes
2019,24076,yes
2019,24077,yes
2019,24079,yes
2019,24100,yes
2019,24101,yes
2019,24102,yes
2019,24105,yes
2019,24110,yes
2019,24115,yes
2019,24116,yes
2019,24120,yes
2019,24125,yes
2019,24126,yes
2019,24130,yes
2019,24134,yes
2019,24136,yes
2019,24138,yes
2019,24140,yes
2019,24145,yes
2019,24147,yes
2019,24149,yes
2019,24150,yes
2019,24152,yes
2019,24155,yes
2019,24160,yes
2019,24164,yes
2019,24200,yes
2019,24201,yes
2019,24300,yes
2019,24301,yes
2019,24305,yes
2019,24310,yes
2019,24320,yes
2019,24330,yes
2019,24331,yes
2019,24332,yes
2019,24340,yes
2019,24341,yes
2019,24342,yes
2019,24343,yes
2019,24344,yes
2019,24345,yes
2019,24346,yes
2019,24357,yes
2019,24358,yes
2019,24359,yes
2019,24360,yes
2019,24361,yes
2019,24362,yes
2019,24363,yes
2019,24365,yes
2019,24366,yes
2019,24370,yes
2019,24371,yes
2019,24400,yes
2019,24410,yes
2019,24420,yes
2019,24430,yes
2019,24435,yes
2019,24470,yes
2019,24495,yes
2019,24498,yes
2019,24500,yes
2019,24505,yes
2019,24515,yes
2019,24516,yes
2019,24530,yes
2019,24535,yes
2019,24538,yes
2019,24545,yes
2019,24546,yes
2019,24560,yes
2019,24565,yes
2019,24566,yes
2019,24575,yes
2019,24576,yes
2019,24577,yes
2019,24579,yes
2019,24582,yes
2019,24586,yes
2019,24587,yes
2019,24600,yes
2019,24605,yes
2019,24615,yes
2019,24620,yes
2019,24635,yes
2019,24640,yes
2019,24650,yes
2019,24655,yes
2019,24665,yes
2019,24666,yes
2019,24670,yes
2019,24675,yes
2019,24685,yes
2019,24800,yes
2019,24802,yes
2019,24900,yes
2019,24920,yes
2019,24925,yes
2019,24930,yes
2019,24931,yes
2019,24935,yes
2019,24940,yes
2019,24999,yes
2019,25000,yes
2019,25001,yes
2019,25020,yes
2019,25023,yes
2019,25024,yes
2019,25025,yes
2019,25028,yes
2019,25031,yes
2019,25035,yes
2019,25040,yes
2019,25071,yes
2019,25073,yes
2019,25075,yes
2019,25076,yes
2019,25077,yes
2019,25078,yes
2019,25085,yes
2019,25100,yes
2019,25101,yes
2019,25105,yes
2019,25107,yes
2019,25109,yes
2019,25110,yes
2019,25111,yes
2019,25112,yes
2019,25115,yes
2019,25116,yes
2019,25118,yes
2019,25119,yes
2019,25120,yes
2019,25125,yes
2019,25126,yes
2019,25130,yes
2019,25135,yes
2019,25136,yes
2019,25145,yes
2019,25150,yes
2019,25151,yes
2019,25170,yes
2019,25210,yes
2019,25215,yes
2019,25230,yes
2019,25240,yes
2019,25248,yes
2019,25250,yes
2019,25251,yes
2019,25259,yes
2019,25260,yes
2019,25263,yes
2019,25265,yes
2019,25270,yes
2019,25272,yes
2019,25274,yes
2019,25275,yes
2019,25280,yes
2019,25290,yes
2019,25295,yes
2019,25300,yes
2019,25301,yes
2019,25310,yes
2019,25312,yes
2019,25315,yes
2019,25316,yes
2019,25320,yes
2019,25332,yes
2019,25335,yes
2019,25337,yes
2019,25350,yes
2019,25355,yes
2019,25360,yes
2019,25365,yes
2019,25370,yes
2019,25375,yes
2019,25390,yes
2019,25391,yes
2019,25392,yes
2019,25393,yes
2019,25394,yes
2019,25400,yes
2019,25405,yes
2019,25415,yes
2019,25420,yes
2019,25425,yes
2019,25426,yes
2019,25430,yes
2019,25431,yes
2019,25440,yes
2019,25441,yes
2019,25442,yes
2019,25443,yes
2019,25444,yes
2019,25445,yes
2019,25446,yes
2019,25447,yes
2019,25449,yes
2019,25450,yes
2019,25455,yes
2019,25490,yes
2019,25491,yes
2019,25492,yes
2019,25500,yes
2019,25505,yes
2019,25515,yes
2019,25520,yes
2019,25525,yes
2019,25526,yes
2019,25530,yes
2019,25535,yes
2019,25545,yes
2019,25560,yes
2019,25565,yes
2019,25574,yes
2019,25575,yes
2019,25600,yes
2019,25605,yes
2019,25606,yes
2019,25607,yes
2019,25608,yes
2019,25609,yes
2019,25622,yes
2019,25624,yes
2019,25628,yes
2019,25630,yes
2019,25635,yes
2019,25645,yes
2019,25650,yes
2019,25651,yes
2019,25652,yes
2019,25660,yes
2019,25670,yes
2019,25671,yes
2019,25675,yes
2019,25676,yes
2019,25680,yes
2019,25685,yes
2019,25690,yes
2019,25695,yes
2019,25800,yes
2019,25805,yes
2019,25810,yes
2019,25820,yes
2019,25825,yes
2019,25830,yes
2019,25900,yes
2019,25905,yes
2019,25907,yes
2019,25909,yes
2019,25915,yes
2019,25920,yes
2019,25922,yes
2019,25924,yes
2019,25927,yes
2019,25929,yes
2019,25931,yes
2019,25999,yes
2019,26010,yes
2019,26011,yes
2019,26020,yes
2019,26025,yes
2019,26030,yes
2019,26034,yes
2019,26035,yes
2019,26037,yes
2019,26040,yes
2019,26045,yes
2019,26055,yes
2019,26060,yes
2019,26070,yes
2019,26075,yes
2019,26080,yes
2019,26100,yes
2019,26105,yes
2019,26110,yes
2019,26111,yes
2019,26113,yes
2019,26115,yes
2019,26116,yes
2019,26117,yes
2019,26118,yes
2019,26121,yes
2019,26123,yes
2019,26130,yes
2019,26135,yes
2019,26140,yes
2019,26145,yes
2019,26160,yes
2019,26170,yes
2019,26180,yes
2019,26185,yes
2019,26200,yes
2019,26205,yes
2019,26210,yes
2019,26215,yes
2019,26230,yes
2019,26235,yes
2019,26236,yes
2019,26250,yes
2019,26260,yes
2019,26262,yes
2019,26320,yes
2019,26340,yes
2019,26341,yes
2019,26350,yes
2019,26352,yes
2019,26356,yes
2019,26357,yes
2019,26358,yes
2019,26370,yes
2019,26372,yes
2019,26373,yes
2019,26390,yes
2019,26392,yes
2019,26410,yes
2019,26412,yes
