icd9,edcnnpa,edcnpa,epct,noner,injury,psych,alcohol,drug
28741,1,0,0,0,0,0,0,0
28749,1,0,0,0,0,0,0,0
2875,1,0,0,0,0,0,0,0
28800,1,0,0,0,0,0,0,0
28801,1,0,0,0,0,0,0,0
28802,1,0,0,0,0,0,0,0
28803,1,0,0,0,0,0,0,0
28804,1,0,0,0,0,0,0,0
28809,1,0,0,0,0,0,0,0
2884,1,0,0,0,0,0,0,0
28850,1,0,0,0,0,0,0,0
28851,1,0,0,0,0,0,0,0
28859,1,0,0,0,0,0,0,0
28860,1,0,0,0,0,0,0,0
28861,1,0,0,0,0,0,0,0
28862,1,0,0,0,0,0,0,0
28863,1,0,0,0,0,0,0,0
28864,1,0,0,0,0,0,0,0
28865,1,0,0,0,0,0,0,0
28866,1,0,0,0,0,0,0,0
28869,1,0,0,0,0,0,0,0
2893,0.5,0,0,0.5,0,0,0,0
28952,1,0,0,0,0,0,0,0
28953,1,0,0,0,0,0,0,0
28981,1,0,0,0,0,0,0,0
28982,1,0,0,0,0,0,0,0
28983,1,0,0,0,0,0,0,0
28984,1,0,0,0,0,0,0,0
28989,1,0,0,0,0,0,0,0
290,0,0,0,0,0,1,0,0
2900,0,0,0,0,0,1,0,0
2901,0,0,0,0,0,1,0,0
29010,0,0,0,0,0,1,0,0
29011,0,0,0,0,0,1,0,0
29012,0,0,0,0,0,1,0,0
29013,0,0,0,0,0,1,0,0
2902,0,0,0,0,0,1,0,0
29020,0,0,0,0,0,1,0,0
29021,0,0,0,0,0,1,0,0
2903,0,0,0,0,0,1,0,0
2904,0,0,0,0,0,1,0,0
29040,0,0,0,0,0,1,0,0
29041,0,0,0,0,0,1,0,0
29042,0,0,0,0,0,1,0,0
29043,0,0,0,0,0,1,0,0
2908,0,0,0,0,0,1,0,0
2909,0,0,0,0,0,1,0,0
291,0,0,0,0,0,0,1,0
2910,0,0,0,0,0,0,1,0
2911,0,0,0,0,0,0,1,0
2912,0,0,0,0,0,0,1,0
2913,0,0,0,0,0,0,1,0
2914,0,0,0,0,0,0,1,0
2915,0,0,0,0,0,0,1,0
2918,0,0,0,0,0,0,1,0
29181,0,0,0,0,0,0,1,0
29182,0,0,0,0,0,0,1,0
29189,0,0,0,0,0,0,1,0
2919,0,0,0,0,0,0,1,0
292,0,0,0,0,0,0,0,1
2920,0,0,0,0,0,0,0,1
2921,0,0,0,0,0,0,0,1
29211,0,0,0,0,0,0,0,1
29212,0,0,0,0,0,0,0,1
2922,0,0,0,0,0,0,0,1
2928,0,0,0,0,0,0,0,1
29281,0,0,0,0,0,0,0,1
29282,0,0,0,0,0,0,0,1
29283,0,0,0,0,0,0,0,1
29284,0,0,0,0,0,0,0,1
29285,0,0,0,0,0,0,0,1
29289,0,0,0,0,0,0,0,1
2929,0,0,0,0,0,0,0,1
293,0,0,0,0,0,1,0,0
2930,0,0,0,0,0,1,0,0
2931,0,0,0,0,0,1,0,0
2938,0,0,0,0,0,1,0,0
29381,0,0,0,0,0,1,0,0
29382,0,0,0,0,0,1,0,0
29383,0,0,0,0,0,1,0,0
29384,0,0,0,0,0,1,0,0
29389,0,0,0,0,0,1,0,0
2939,0,0,0,0,0,1,0,0
294,0,0,0,0,0,1,0,0
2940,0,0,0,0,0,1,0,0
2941,0,0,0,0,0,1,0,0
29410,0,0,0,0,0,1,0,0
29411,0,0,0,0,0,1,0,0
29420,0,0,0,0,0,1,0,0
29421,0,0,0,0,0,1,0,0
2948,0,0,0,0,0,1,0,0
2949,0,0,0,0,0,1,0,0
295,0,0,0,0,0,1,0,0
2950,0,0,0,0,0,1,0,0
29500,0,0,0,0,0,1,0,0
29501,0,0,0,0,0,1,0,0
29502,0,0,0,0,0,1,0,0
29503,0,0,0,0,0,1,0,0
29504,0,0,0,0,0,1,0,0
29505,0,0,0,0,0,1,0,0
2951,0,0,0,0,0,1,0,0
29510,0,0,0,0,0,1,0,0
29511,0,0,0,0,0,1,0,0
29512,0,0,0,0,0,1,0,0
29513,0,0,0,0,0,1,0,0
29514,0,0,0,0,0,1,0,0
29515,0,0,0,0,0,1,0,0
2952,0,0,0,0,0,1,0,0
29520,0,0,0,0,0,1,0,0
29521,0,0,0,0,0,1,0,0
29522,0,0,0,0,0,1,0,0
29523,0,0,0,0,0,1,0,0
29524,0,0,0,0,0,1,0,0
29525,0,0,0,0,0,1,0,0
2953,0,0,0,0,0,1,0,0
29530,0,0,0,0,0,1,0,0
29531,0,0,0,0,0,1,0,0
29532,0,0,0,0,0,1,0,0
29533,0,0,0,0,0,1,0,0
29534,0,0,0,0,0,1,0,0
29535,0,0,0,0,0,1,0,0
2954,0,0,0,0,0,1,0,0
29540,0,0,0,0,0,1,0,0
29541,0,0,0,0,0,1,0,0
29542,0,0,0,0,0,1,0,0
29543,0,0,0,0,0,1,0,0
29544,0,0,0,0,0,1,0,0
29545,0,0,0,0,0,1,0,0
2955,0,0,0,0,0,1,0,0
29550,0,0,0,0,0,1,0,0
29551,0,0,0,0,0,1,0,0
29552,0,0,0,0,0,1,0,0
29553,0,0,0,0,0,1,0,0
29554,0,0,0,0,0,1,0,0
29555,0,0,0,0,0,1,0,0
2956,0,0,0,0,0,1,0,0
29560,0,0,0,0,0,1,0,0
29561,0,0,0,0,0,1,0,0
29562,0,0,0,0,0,1,0,0
29563,0,0,0,0,0,1,0,0
29564,0,0,0,0,0,1,0,0
29565,0,0,0,0,0,1,0,0
2957,0,0,0,0,0,1,0,0
29570,0,0,0,0,0,1,0,0
29571,0,0,0,0,0,1,0,0
29572,0,0,0,0,0,1,0,0
29573,0,0,0,0,0,1,0,0
29574,0,0,0,0,0,1,0,0
29575,0,0,0,0,0,1,0,0
2958,0,0,0,0,0,1,0,0
29580,0,0,0,0,0,1,0,0
29581,0,0,0,0,0,1,0,0
29582,0,0,0,0,0,1,0,0
29583,0,0,0,0,0,1,0,0
29584,0,0,0,0,0,1,0,0
29585,0,0,0,0,0,1,0,0
2959,0,0,0,0,0,1,0,0
29590,0,0,0,0,0,1,0,0
29591,0,0,0,0,0,1,0,0
29592,0,0,0,0,0,1,0,0
29593,0,0,0,0,0,1,0,0
29594,0,0,0,0,0,1,0,0
29595,0,0,0,0,0,1,0,0
296,0,0,0,0,0,1,0,0
2960,0,0,0,0,0,1,0,0
29600,0,0,0,0,0,1,0,0
29601,0,0,0,0,0,1,0,0
29602,0,0,0,0,0,1,0,0
29603,0,0,0,0,0,1,0,0
29604,0,0,0,0,0,1,0,0
29605,0,0,0,0,0,1,0,0
29606,0,0,0,0,0,1,0,0
2961,0,0,0,0,0,1,0,0
29610,0,0,0,0,0,1,0,0
29611,0,0,0,0,0,1,0,0
29612,0,0,0,0,0,1,0,0
29613,0,0,0,0,0,1,0,0
29614,0,0,0,0,0,1,0,0
29615,0,0,0,0,0,1,0,0
29616,0,0,0,0,0,1,0,0
2962,0,0,0,0,0,1,0,0
29620,0,0,0,0,0,1,0,0
29621,0,0,0,0,0,1,0,0
29622,0,0,0,0,0,1,0,0
29623,0,0,0,0,0,1,0,0
29624,0,0,0,0,0,1,0,0
29625,0,0,0,0,0,1,0,0
29626,0,0,0,0,0,1,0,0
2963,0,0,0,0,0,1,0,0
29630,0,0,0,0,0,1,0,0
29631,0,0,0,0,0,1,0,0
29632,0,0,0,0,0,1,0,0
