icd10,edcnnpa,edcnpa,epct,noner,injury,psych,alcohol,drug
D47Z9,1,0,0,0,0,0,0,0
D490,1,0,0,0,0,0,0,0
D4981,1,0,0,0,0,0,0,0
D4989,1,0,0,0,0,0,0,0
D560,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D561,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D562,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D563,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D565,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D568,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D569,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D5700,0.6666666667,0,0.3333333333,0,0,0,0,0
D5701,0.6666666667,0,0.3333333333,0,0,0,0,0
D5702,0.6666666667,0,0.3333333333,0,0,0,0,0
D571,0.6666666667,0,0.3333333333,0,0,0,0,0
D57211,0.6666666667,0,0.3333333333,0,0,0,0,0
D57212,0.6666666667,0,0.3333333333,0,0,0,0,0
D57219,0.6666666667,0,0.3333333333,0,0,0,0,0
D5740,0.6666666667,0,0.3333333333,0,0,0,0,0
D57411,0.6666666667,0,0.3333333333,0,0,0,0,0
D57412,0.6666666667,0,0.3333333333,0,0,0,0,0
D57419,0.6666666667,0,0.3333333333,0,0,0,0,0
D5780,0.6666666667,0,0.3333333333,0,0,0,0,0
D600,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D601,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D608,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D609,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D6101,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D6109,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D611,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D612,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D613,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D61810,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D61811,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D61818,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D6182,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D6189,0.3333333333,0,0.1666666667,0.5,0,0,0,0
D6481,1,0,0,0,0,0,0,0
D649,0.3333333333,0,0.1666666667,0.5,0,0,0,0
