diagnosis_code,cms_hcc_esrd_v21,cms_hcc_esrd_v24,cms_hcc_v22,cms_hcc_v24,cms_hcc_v28,rx_hcc_v05,rx_hcc_v08
C510,11,11,11,11,22,,
C511,11,11,11,11,22,,
C512,11,11,11,11,22,,
C518,11,11,11,11,22,,
C519,11,11,11,11,22,,
C52,11,11,11,11,22,,
C530,11,11,11,11,22,,
C531,11,11,11,11,22,,
C538,11,11,11,11,22,,
C539,11,11,11,11,22,,
C540,12,12,12,12,23,,
C541,12,12,12,12,23,,
C542,12,12,12,12,23,,
C543,12,12,12,12,23,,
C548,12,12,12,12,23,,
C549,12,12,12,12,23,,
C55,12,12,12,12,23,,
C561,10,10,10,10,22,,22
C562,10,10,10,10,22,,22
C563,10,10,10,10,22,,22
C569,10,10,10,10,22,,22
C5700,10,10,10,10,22,,22
C5701,10,10,10,10,22,,22
C5702,10,10,10,10,22,,22
C5710,10,10,10,10,22,,22
C5711,10,10,10,10,22,,22
C5712,10,10,10,10,22,,22
C5720,10,10,10,10,22,,22
C5721,10,10,10,10,22,,22
C5722,10,10,10,10,22,,22
C573,10,10,10,10,22,,22
C574,10,10,10,10,22,,22
C577,11,11,11,11,22,,
C578,11,11,11,11,22,,
C579,11,11,11,11,22,,
C58,10,10,10,10,22,,22
C600,12,12,12,12,23,,22
C601,12,12,12,12,23,,22
C602,12,12,12,12,23,,22
C608,12,12,12,12,23,,22
C609,12,12,12,12,23,,22
C61,12,12,12,12,23,,22
C6200,12,12,12,12,23,,22
C6201,12,12,12,12,23,,22
C6202,12,12,12,12,23,,22
C6210,12,12,12,12,23,,22
C6211,12,12,12,12,23,,22
C6212,12,12,12,12,23,,22
C6290,12,12,12,12,23,,22
C6291,12,12,12,12,23,,22
C6292,12,12,12,12,23,,22
C6300,12,12,12,12,23,,22
C6301,12,12,12,12,23,,22
C6302,12,12,12,12,23,,22
C6310,12,12,12,12,23,,22
C6311,12,12,12,12,23,,22
C6312,12,12,12,12,23,,22
C632,12,12,12,12,23,,22
C637,12,12,12,12,23,,22
C638,12,12,12,12,23,,22
C639,12,12,12,12,23,,22
C641,11,11,11,11,22,18,20
C642,11,11,11,11,22,18,20
C649,11,11,11,11,22,18,20
C651,11,11,11,11,22,18,20
C652,11,11,11,11,22,18,20
C659,11,11,11,11,22,18,20
C661,11,11,11,11,22,,22
C662,11,11,11,11,22,,22
C669,11,11,11,11,22,,22
C670,11,11,11,11,22,,22
C671,11,11,11,11,22,,22
C672,11,11,11,11,22,,22
C673,11,11,11,11,22,,22
C674,11,11,11,11,22,,22
C675,11,11,11,11,22,,22
C676,11,11,11,11,22,,22
C677,11,11,11,11,22,,22
C678,11,11,11,11,22,,22
C679,11,11,11,11,22,,22
C680,11,11,11,11,22,,22
C681,11,11,11,11,22,,22
C688,11,11,11,11,22,,22
C689,11,11,11,11,22,,22
C6900,12,12,12,12,23,,22
C6901,12,12,12,12,23,,22
C6902,12,12,12,12,23,,22
C6910,12,12,12,12,23,,22
C6911,12,12,12,12,23,,22
C6912,12,12,12,12,23,,22
C6920,12,12,12,12,23,,22
C6921,12,12,12,12,23,,22
C6922,12,12,12,12,23,,22
C6930,12,12,12,12,23,,22
C6931,12,12,12,12,23,,22
C6932,12,12,12,12,23,,22
C6940,12,12,12,12,23,,22
C6941,12,12,12,12,23,,22
C6942,12,12,12,12,23,,22
C6950,12,12,12,12,23,,22
C6951,12,12,12,12,23,,22
C6952,12,12,12,12,23,,22
C6960,12,12,12,12,23,,22
C6961,12,12,12,12,23,,22
C6962,12,12,12,12,23,,22
C6980,12,12,12,12,23,,22
C6981,12,12,12,12,23,,22
C6982,12,12,12,12,23,,22
C6990,12,12,12,12,23,,22
C6991,12,12,12,12,23,,22
C6992,12,12,12,12,23,,22
C700,10,10,10,10,20,,22
C701,10,10,10,10,20,,22
C709,10,10,10,10,20,,22
C710,10,10,10,10,20,,22
C711,10,10,10,10,20,,22
C712,10,10,10,10,20,,22
C713,10,10,10,10,20,,22
C714,10,10,10,10,20,,22
C715,10,10,10,10,20,,22
C716,10,10,10,10,20,,22
C717,10,10,10,10,20,,22
C718,10,10,10,10,20,,22
C719,10,10,10,10,20,,22
C720,10,10,10,10,20,,22
C721,10,10,10,10,20,,22
C7220,10,10,10,10,20,,22
C7221,10,10,10,10,20,,22
C7222,10,10,10,10,20,,22
C7230,10,10,10,10,20,,22
C7231,10,10,10,10,20,,22
C7232,10,10,10,10,20,,22
C7240,10,10,10,10,20,,22
C7241,10,10,10,10,20,,22
C7242,10,10,10,10,20,,22
C7250,10,10,10,10,20,,22
C7259,10,10,10,10,20,,22
C729,10,10,10,10,20,,22
C73,12,12,12,12,23,19,22
C7400,10,10,10,10,22,19,22
C7401,10,10,10,10,22,19,22
C7402,10,10,10,10,22,19,22
C7410,10,10,10,10,22,19,22
C7411,10,10,10,10,22,19,22
C7412,10,10,10,10,22,19,22
C7490,10,10,10,10,22,19,22
C7491,10,10,10,10,22,19,22
C7492,10,10,10,10,22,19,22
C750,12,12,12,12,23,19,22
C751,10,10,10,10,20,,22
C752,10,10,10,10,20,,22
C753,10,10,10,10,20,,22
C754,12,12,12,12,23,19,22
C755,12,12,12,12,23,19,22
C758,12,12,12,12,23,19,22
C759,12,12,12,12,23,19,22
C760,12,12,12,12,23,,22
C761,12,12,12,12,23,,22
C762,12,12,12,12,23,,22
C763,12,12,12,12,23,,22
C7640,12,12,12,12,23,,22
C7641,12,12,12,12,23,,22
C7642,12,12,12,12,23,,22
C7650,12,12,12,12,23,,22
C7651,12,12,12,12,23,,22
C7652,12,12,12,12,23,,22
C768,12,12,12,12,23,,22
C770,8,8,8,8,18,19,20
C771,8,8,8,8,17,19,20
C772,8,8,8,8,18,19,20
C773,10,10,10,10,20,19,20
C774,8,8,8,8,18,19,20
C775,8,8,8,8,18,19,20
C778,8,8,8,8,17,19,20
C779,10,10,10,10,18,19,20
C7800,8,8,8,8,17,17,18
C7801,8,8,8,8,17,17,18
C7802,8,8,8,8,17,17,18
C781,8,8,8,8,17,17,18
C782,8,8,8,8,17,17,18
C7830,8,8,8,8,17,17,18
C7839,8,8,8,8,17,17,18
C784,8,8,8,8,17,18,20
C785,8,8,8,8,17,18,20
C786,8,8,8,8,17,18,20
C787,8,8,8,8,17,17,18
C7880,8,8,8,8,17,18,18
C7889,8,8,8,8,17,18,18
C7900,8,8,8,8,17,17,17
C7901,8,8,8,8,17,17,17
C7902,8,8,8,8,17,17,17
C7910,8,8,8,8,18,18,18
C7911,8,8,8,8,18,18,18
C7919,8,8,8,8,18,18,18
C792,10,10,10,10,18,18,18
C7931,8,8,8,8,17,17,18
C7932,8,8,8,8,17,17,18
C7940,8,8,8,8,17,17,18
C7949,8,8,8,8,17,17,18
C7951,8,8,8,8,18,17,17
C7952,8,8,8,8,18,17,17
C7960,8,8,8,8,18,18,18
C7961,8,8,8,8,18,18,18
C7962,8,8,8,8,18,18,18
C7963,8,8,8,8,18,18,18
C7970,8,8,8,8,17,17,18
C7971,8,8,8,8,17,17,18
C7972,8,8,8,8,17,17,18
C7981,10,10,10,10,18,18,18
C7982,10,10,10,10,18,18,18
C7989,8,8,8,8,18,18,18
C799,8,8,8,8,18,18,18
C7A00,12,12,12,12,21,19,22
C7A010,12,12,12,12,21,19,22
C7A011,12,12,12,12,21,19,22
C7A012,12,12,12,12,21,19,22
C7A019,12,12,12,12,21,19,22
C7A020,12,12,12,12,21,19,22
C7A021,12,12,12,12,21,19,22
C7A022,12,12,12,12,21,19,22
C7A023,12,12,12,12,21,19,22
C7A024,12,12,12,12,21,19,22
C7A025,12,12,12,12,21,19,22
C7A026,12,12,12,12,21,19,22
C7A029,12,12,12,12,21,19,22
C7A090,12,12,12,12,21,19,22
C7A091,12,12,12,12,21,19,22
C7A092,12,12,12,12,21,19,22
C7A093,12,12,12,12,21,19,22
C7A094,12,12,12,12,21,19,22
C7A095,12,12,12,12,21,19,22
C7A096,12,12,12,12,21,19,22
C7A098,12,12,12,12,21,19,22
C7A1,12,12,12,12,21,19,22
C7A8,12,12,12,12,21,19,22
C7B00,8,8,8,8,17,18,18
C7B01,8,8,8,8,17,19,20
C7B02,8,8,8,8,17,17,18
C7B03,8,8,8,8,17,17,17
C7B04,8,8,8,8,17,18,20
C7B09,8,8,8,8,17,18,18
C7B1,8,8,8,8,17,18,18
C7B8,8,8,8,8,17,18,18
C800,8,8,8,8,18,18,20
C801,12,12,12,12,23,,
C802,12,12,12,12,23,,22
C8100,10,10,10,10,21,,21
C8101,10,10,10,10,21,,21
C8102,10,10,10,10,21,,21
C8103,10,10,10,10,21,,21
C8104,10,10,10,10,21,,21
C8105,10,10,10,10,21,,21
C8106,10,10,10,10,21,,21
C8107,10,10,10,10,21,,21
C8108,10,10,10,10,21,,21
C8109,10,10,10,10,21,,21
C8110,10,10,10,10,21,,21
C8111,10,10,10,10,21,,21
C8112,10,10,10,10,21,,21
C8113,10,10,10,10,21,,21
C8114,10,10,10,10,21,,21
C8115,10,10,10,10,21,,21
C8116,10,10,10,10,21,,21
C8117,10,10,10,10,21,,21
C8118,10,10,10,10,21,,21
C8119,10,10,10,10,21,,21
C8120,10,10,10,10,21,,21
C8121,10,10,10,10,21,,21
